feature,importance
numericas__idade,0.16050625639238347
numericas__produtos_ativos,0.09816355917110878
categoricas__perfil_risco_Conservador,0.09115178296428596
numericas__score_credito,0.08143890112446048
numericas__saldo_atual,0.04138704282277917
categoricas__perfil_risco_Moderado,0.04133537552479124
categoricas__perfil_risco_Arrojado,0.035565657945975444
numericas__razao_saldo_renda,0.035528704714292716
numericas__membro_ativo,0.02466651899270976
categoricas__estado_Alemanha,0.02204703363609911
numericas__pct_canal_digital,0.01390890637116641
numericas__pct_essencial,0.013603231057673307
numericas__pressao_financeira,0.013344945877532736
numericas__pct_lazer,0.01327463508055605
numericas__razao_gasto_renda,0.013196179839595637
numericas__intensidade_credito,0.012101524738564916
numericas__pct_financeiro,0.011928125862842677
numericas__pct_investimento,0.011685209656670734
numericas__valor_macro_lazer,0.011565982919377897
numericas__meses_relacionamento,0.011500226797667639
